"Review date","Review URL","Author name","Author URL","Local Guide","Author reviews","Star rating","Review content","Review image","Review video"
"2025-12-03","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25wMlpUSk9NbU5HUW5oS1dubFNNRmw1YmtsZmJWRRAB!2m1!1s0x0","Ridwan khan","https://www.google.com/maps/contrib/104041641817390599995/reviews","false","1","1","","",""
"2025-12-03","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xwYVVYaE9XRFJuTTFkc1gwSlhkMlo2YzJONmIxRRAB!2m1!1s0x0","Kieran K","https://www.google.com/maps/contrib/108386470568248641962/reviews","false","8","1","Booked my unwell baby an appointment at 8:30pm at another site which had already closed at 6:30pm - keeping an unwell baby up way past her bed time. Completely unacceptable and a shambles.","",""
"2025-11-15","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xCNlFtSm1hMmx3ZERVeVdUWkhYMUJqZEdkdWJGRRAB!2m1!1s0x0","Alexander","https://www.google.com/maps/contrib/107671204911764803684/reviews","false","4","1","This practice’s negligence put me in hospital for two weeks after I spent ten days being dismissed by doctors who refused to see me in person.I spoke to several doctors over the phone and through their awful eConsult system, but was repeatedly told I wasn’t an urgent case which made me believe my symptoms were minor. My condition worsened until I had to be admitted to hospital for two weeks.This could easily have been avoided if someone had simply taken the time to see me in person. The complete lack of care, and responsibility was shocking.Avoid at all costs.","",""
"2025-11-15","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25oR1VubE5aRkpKTjFkS2VUSXdja1JzWTJkb1RWRRAB!2m1!1s0x0","Elena Marcus","https://www.google.com/maps/contrib/103659092534016934885/reviews","true","12","5","Been at this practice for a decade now. I'm really impressed with the new online booking system - hopefully it will free up the phone line for those who really need it. The vast majority of the time the admin team/receptionists have been extremely helpful, going out of their way to support me. GPs have always been friendly, attentive and helpful.","",""
"2025-11-15","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21kV2QxSnZTbFJ3Um1WV09FcFJTVVp5ZEROWmVHYxAB!2m1!1s0x0","john smith","https://www.google.com/maps/contrib/115288771405683408925/reviews","false","2","1","The reception manager Deborah Turner and the rest of the reception staff are incapable of performing receptionist dutiesInstead they masquerade as doctors and attempt to pass medical judgment upon the patients.I wanted to see a GP not speak with a nosey receptionist.","",""
"2025-11-15","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2toTWJuUmpNbHBUYm5aMmFtZE5TSGRQUmpBMFEwRRAB!2m1!1s0x0","finbar carolan","https://www.google.com/maps/contrib/117208497161319966623/reviews","true","25","1","The reception manager Ms Deborah Turner is the resident Karen being arbiter of who is deemed worthy to receive treatment in a timely manner.Please consider replacing the reception staff starting with this individual. The reputation of the practice is already dragged through the mud.","",""
"2025-11-15","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xCMWNIZFhMVkJXZWs5b1ptcG9kRzFqZVcxaVRsRRAB!2m1!1s0x0","Finbar C","https://www.google.com/maps/contrib/114550810597323036310/reviews","false","1","1","Find it really odd how a non liscend medical practioner, the reception manager Deborah turner is qualified to determine if you are deemed worthy of being seen by a GP.Please consider replacing the reception staff, their job is to book appointments and not diagnose medical conditions.","",""
"2025-11-15","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2w4MlRFSjRka05sUXpWc1kxSmFOVmRzYlVWcU5WRRAB!2m1!1s0x0","abdul khoer","https://www.google.com/maps/contrib/103621669436904079376/reviews","true","18","1","I have been a patient with this practice since child, my late grand father was with this surgery so my whole family, I hardly visit surgery , recently,  after many years I was given an emmergency appointment to visit the surgery at 12 noon I arrive at 11:30 i made receptionist aware that I had an appointment at 12 noon , I was told to take a seat , a doctor  will call me , 12:30 pm pass no one has called i had to inform the receptionist twis that I have been here awaiting  more than an hour and I am in alot pain I have not been called,  finally at 12:50I was called no apology nothing , my condition was very poorly,  I had very bad chesty flame I wanted to use the bin , however the doctor was racist clearly told me not to make her bin dirty. She asked me to use the tissue instead , the bin is there for a reason , she did not asisst me at all. It was a awful experience. I am considering leaving this surgery,  after many generations.  Services at this surgery is getting poorer.","",""
"2025-11-15","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2t0ZmFWOU1hM1JKWVRKU1ZYQjZVakl5WWpCQ0xYYxAB!2m1!1s0x0","Eileen Hardie","https://www.google.com/maps/contrib/105573581477647493875/reviews","false","1","5","I have been attending the mission practise for many years and have  always had the best treatment anyone can wish for.. This week I have knee and back pain and was saw Dr Murphy who I understand is fairly new to the practice.. Dr Murphy was attentive  thorough and made me feel comfortable as I was in a lot of pain.. I am very pleased with his diagnosis ..he made me feel more confident about  what has caused my pain and hopefully a cure.   ..","",""
"2025-10-15","https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xGTU9GOHdWalpqTW5JMFkwUTBOakZ0U0V4RWJXYxAB!2m1!1s0x0","Mustafa İsmailov","https://www.google.com/maps/contrib/117464830666196476689/reviews","false","5","1","The worst GP ever l seen they book my appointment wrong day and after they did not want to fix even. Rude reception and very bad management","",""
